Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Barnes Meadow Outflow,BMD,2015-06-08,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,NA,NA,7.43,331.17,40.2,2.2,0.03,0.82,0.85,5.5,0.03,0.55,0.13,0,1.63,11.47,0.33
Hourglass Outflow,HORO,2020-08-21,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,NA,26.4,NA,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89,2.78,0.23
Barnes Meadow Outflow,BMD,2020-10-20,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,NA,NA,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75,9.61,0.5
Peterson Reservoir,PTRR,2020-10-20,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,NA,NA,NA,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34,9.37,0.48
Barnes Meadow Outflow,BMD,2021-04-07,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6,NA,NA,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07,10.2,0.4
Barnes Meadow Outflow,BMD,2021-04-12,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,2.88,NA,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85,8.83,0.56
Chambers Inlet,CBRI,2021-04-13,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,1.8,0,NA,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95,3.18,0.3
Barnes Meadow Outflow,BMD,2021-04-19,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,12,3.75,NA,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01,9.67,0.77
Chambers Inlet,CBRI,2021-04-19,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2,0,NA,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93,2.61,0.24
Chambers Outflow,CHD,2021-04-19,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2.4,1.92,NA,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54,2.94,0.36
