"","site_code","Year","mean_chla","mean_turb","mean_pH","mean_na","mean_nh4","mean_k","mean_mg","mean_ca","mean_f","mean_cl","mean_po4","mean_so4","mean_sc","mean_no3"
"1","ARCH",2022,8.23666666666667,28.6233333333333,7.56333333333333,19.1,0.15,2.06333333333333,13.8466666666667,51.6566666666667,0.276666666666667,15.2466666666667,0,98.6066666666667,496.003333333333,1.54
"2","BMD",2021,2.87230769230769,11.5692307692308,6.93615384615385,2.40230769230769,0.223076923076923,1.23153846153846,1.35,8.13230769230769,0.0430769230769231,1.60384615384615,0,10.1261538461538,70.6207692307692,0.146153846153846
"3","BMD",2022,3.18428571428571,14.2614285714286,7.04238095238095,2.43761904761905,0.330952380952381,1.21047619047619,1.50809523809524,11.2842857142857,0.040952380952381,1.67714285714286,0.0176190476190476,6.54666666666667,82.787619047619,0.324285714285714
"4","BRNR",2021,2.19636363636364,6.54090909090909,7.13,2.50454545454545,0.0345454545454545,1.28,1.44181818181818,9.15818181818182,0.0418181818181818,1.66545454545455,0,10.8781818181818,74.7981818181818,0.04
"5","BRNR",2022,3.14708333333333,6.2325,7.15583333333333,2.43666666666667,0.0391666666666667,1.17666666666667,1.47416666666667,10.9333333333333,0.0329166666666667,1.62666666666667,0.0116666666666667,7.26833333333333,79.3366666666667,0.15125
"6","CBRI",2021,0.5925,4.12916666666667,7.11083333333333,1.7925,0.0316666666666667,0.755,1.1625,6.2825,0.0641666666666667,0.636666666666667,0,3.11333333333333,49.0891666666667,0.131666666666667
"7","CBRI",2022,0.96875,6.7,7.06541666666667,1.72583333333333,0.0241666666666667,0.712083333333333,1.33458333333333,6.9625,0.0558333333333333,0.658333333333333,0,2.64625,51.6425,0.327083333333333
"8","CBRR",2021,1.77666666666667,8.73333333333333,7.1075,1.51,0.0366666666666667,0.8625,1.05333333333333,5.44916666666667,0.0633333333333333,0.6775,0,3.62333333333333,44.7116666666667,0.0458333333333333
"9","CBRR",2022,2.58,15.5745833333333,7.115,1.48083333333333,0.035,0.712916666666667,1.1225,6.50958333333333,0.0566666666666667,0.55,0,2.32833333333333,47.1979166666667,0.166666666666667
"10","CHD",2021,1.57727272727273,4.02727272727273,7.02818181818182,1.64181818181818,0.0318181818181818,0.89,1.04090909090909,5.75,0.0581818181818182,0.589090909090909,0,3.65272727272727,47.0909090909091,0.0918181818181818
"11","CHD",2022,2.57208333333333,2.99833333333333,7.10666666666667,1.59375,0.0466666666666667,0.78375,1.17833333333333,6.81875,0.0458333333333333,0.59875,0.005,2.40208333333333,50.41375,0.305416666666667
"12","ELC",2022,10.8433333333333,17.6666666666667,7.55,16.5566666666667,0.19,1.71666666666667,10.57,41.31,0.216666666666667,14.19,0,72.4433333333333,422.816666666667,1.35
"13","JOEI",2021,0.266363636363636,3.79090909090909,7.13454545454545,1.78272727272727,0.0190909090909091,0.517272727272727,1.38363636363636,6.85272727272727,0.12,0.592727272727273,0,5.88272727272727,57.2490909090909,0.391818181818182
"14","JOEI",2022,0.283333333333333,2.075,7.10708333333333,1.68458333333333,0.0325,0.499583333333333,1.67125,8.79625,0.0704166666666667,0.537916666666667,0.02,6.46291666666667,65.3658333333333,0.595
