,site_code,comid,distance_upstream_km
1,PBD,2900705,0
2,PNF,2900989,7.471
3,CACT,2899385,26.139
4,PSF,2899293,33.951
5,SFM,2899835,53.476
6,PENN,2900033,60.791
7,BEAV,2899995,61.499
8,HORI,2899995,61.499
9,COMO,2899995,61.499
10,HORR,2899995,61.499
11,HORO,2899995,61.499
12,COMR,2900919,70.774
13,COMI,2899959,72.236
14,FISH,2899937,56.85
15,LBEA,2900725,54.334
16,BENN,2899563,46.256
17,PBR,2899241,47.262
18,SHEP,2899299,54.542
19,BLAK,2899499,57.56
20,SLEP,2899381,73.161
21,PJW,2899875,80.916
22,LNGO,2900761,98.705
23,LNGR,2900947,100.445
24,PTRO,2900921,91.236
25,PTRR,2900921,91.236
26,JWC,2899821,80.916
27,BRNR,2900901,85.149
28,BMD,2899911,84.049
29,CHD,2899911,86.049
30,CBRR,2900897,87.814
31,CBRI,2900001,90.13
32,NJOE,2900027,91.236
33,JOER,2900923,93.218
34,JOEI,2900149,95.264
35,SAWM,2899973,90.13
36,FALL,2899915,88.096
37,LRT,2899483,77.122
38,ROAR,2900659,68.256
39,SEVN,2899179,51.994
40,SOLP,2898687,67.902
41,PONO,2898525,93.01
42,DEAD,17496991,NA
43,LEGC,2899931,NA
44,TIMB,2900039,NA
45,ELC,2900123,NA
46,ARCH,2900137,NA
