Site,Date,Time,DO_mg_L,Cond_ms_cm,Temp_C
LNGR,8/23/22,9:20,6.49,51.3,14.5
LNGO,8/23/22,9:49,6.95,52.52,13.9
PTRR,8/23/22,10:35,6.11,36.55,13.5
PTRO,8/23/22,10:55,6.34,37.93,13.1
JOEI,8/23/22,12:10,7.59,66.35,10
JOER,8/23/22,12:33,6.85,48.38,17.5
CBRI,8/23/22,13:07,7.55,50.68,9.7
BMD,8/23/22,13:30,6.99,92.5,9.2
BRNR,8/23/22,13:50,6.8,75.4,20.8
CBRR,8/23/22,14:25,6.81,43.55,18.1
CHD,8/23/22,14:40,6.69,45.37,14.4
JWC,8/26/22,9:35,7.09,47.75,14.3
PJW,8/26/22,10:10,7.53,49.06,12.2
SLEP,8/26/22,10:40,7.38,49.79,13.7
PBR,8/26/22,11:20,7.4,56.05,14.7
SFM,8/26/22,12:10,7.47,41.15,12.8
PSF,8/26/22,13:00,7.38,56.41,15.6
PNF,8/26/22,13:57,7.42,57.8,17.6
PBD,8/26/22,14:40,7.3,63.16,18.4
LNGR,8/30/22,9:46,6.82,54.35,14.4
LNGO,8/30/22,10:05,7.02,54.39,14
PTRR,8/30/22,10:45,6.75,42.76,15.5
PTRO,8/30/22,11:00,7.12,43.34,14.5
JOEI,8/30/22,11:41,7.64,69.39,9.5
JOER,8/30/22,12:05,6.85,49.37,16.6
CBRI,8/30/22,12:30,7.78,51.56,9.4
BMD,8/30/22,12:45,6.66,84.44,9.2
BRNR,8/30/22,13:30,6.5,74.98,18.9
CBRR,8/30/22,13:50,6.77,47.15,18.6
CHD,8/30/22,14:05,6.77,48.26,14.7
COMI,8/31/22,9:20,7.87,33.09,8.5
COMR,8/31/22,9:55,6.69,36.28,13.2
HORI,8/31/22,10:40,8.08,22.18,7.3
COMO,8/31/22,11:00,7.12,36.52,13.6
HORR,8/31/22,11:30,7.5,36.12,16.7
BEAV,8/31/22,12:25,7.35,33.95,13.1
SFM,8/31/22,13:20,7.38,41.6,14.1
LNGR,9/6/22,9:23,6.68,56.19,14.8
LNGO,9/6/22,9:45,7.01,56.92,14.2
PTRR,9/6/22,10:30,6.91,44.51,14.4
PTRO,9/6/22,11:00,7.66,46.3,14.6
JOER,9/6/22,12:05,7.01,50.34,16.2
CBRI,9/6/22,12:30,7.87,50.59,9.1
BMD,9/6/22,13:00,6.82,82.48,9.5
BRNR,9/6/22,13:20,6.67,74.76,18.2
CBRR,9/6/22,13:55,7.11,47.28,19.8
CHD,9/6/22,14:07,6.84,47.98,14.8
JWC,9/9/22,8:56,7.28,49.97,12.7
PJW,9/9/22,9:40,7.49,55.44,12.2
SLEP,9/9/22,10:00,7.62,55.52,12.6
PBR,9/9/22,10:20,7.56,62.66,13.2
SFM,9/9/22,11:00,7.8,43.1,10.8
PSF,9/9/22,11:50,7.7,61.75,13.7
PNF,9/9/22,13:00,7.74,63.13,15.3
PBD,9/9/22,13:40,7.93,73.75,16
LNGR,9/13/22,9:20,6.7,59.1,13.2
LNGO,9/13/22,9:45,6.87,59.1,13
PTRR,9/13/22,10:30,7.01,46.82,12.6
PTRO,9/13/22,10:50,7.11,51.09,11.9
JOEI,9/13/22,11:30,8.03,73.54,6.9
JOER,9/13/22,11:55,7.02,50.84,14.3
CBRI,9/13/22,12:25,8.11,50.4,7.3
BMD,9/13/22,12:44,6.61,84,9.3
BRNR,9/13/22,13:05,6.5,74.55,16.5
CBRR,9/13/22,13:46,6.93,48.49,16.9
CHD,9/13/22,14:05,7.05,49.54,14
LNGR,9/22/22,9:25,7.03,59.24,11.9
LNGO,9/22/22,9:45,7.54,60.1,11.7
PTRR,9/22/22,10:30,7.15,48.26,11.8
PTRO,9/22/22,10:45,7.44,50.75,11.3
JOEI,9/22/22,11:35,7.98,75.64,7.7
JOER,9/22/22,11:58,6.9,51.42,12.5
CBRI,9/22/22,12:25,8.09,47.47,7.3
