IDNo,Era,FCW,EraSamp,NewEra,Proj_General,ProjID,Proj_Specific,Storm,Site,SiteDescr,SiteLabel,BurnClass,DwnStrm,VAR00017,Area_ha,Burn_ha,BurnPer,HiPer,HiModPer,FishTrib,SiteType,SiteCode,CP_ISCOs,FishISCO,CP_CoreTrib,CP_PreTrib,PreCP_Period,PrePostTrib,CLP_UPDwn,Trt_CP,CP_TrtID,PrePost_CP,PrePost_ID,Trt_Cit,PrePost_Cit,HighPk_trt,HighPk_prepost,Date,Month,Season,Year,Time,ISCOEVENT,Bottle,Duration,LocType,EventType,SampleType,SampleTypeID,Temp,Stage_PBR_ft,Q_cfs,Turbidity,Turbidity,TSS,Zerod_TSS,ChlA,Al_ppm,Si_ppm,P_ppm,Mn_ppb,Fe_ppb,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3N,NH4N,DIN,DON,ANC_A,H,Ca_A,Mg_A,Na_A,K_A,NH4_A,F_A,CL_A,NO3_A,PO4_A,SO4_A,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,ION_A,DIFF_A,COND,COND_A,LABNOTES,BOTTLENOTES,Collector,Outlier,Outlier_Comm,VAR00010,VAR00011,V91,V92,TSS_NOTES,filter_$
HP 2,HP,#NULL!,2,#NULL!,HIGHPK,3,STORM,2,Skin_ISCO,,SKIN_ISCO,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,ISCO,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,8-Jul-14,7,2,2014,8:00:00 AM,#NULL!,#NULL!,#NULL!,ISCO,ISCO Storm Event,ISCO,5,13,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.18,0.71,8.16,1796.23,219,7.68,0,1.7,6.62,24.4,0.29,5.24,2.83,0.06,16.08,0.64029096,0,0.64029096,0.07280904,1796.23,0.00691831,1217.56487,544.9907426,334.0616283,43.55688099,0,15.37497652,147.8041351,45.71251627,0.632824757,334.8407622,2340.595215,2140.18104,4480.776255,4.472755677,2140.174122,528.3574135,1611.816709,OK,2.680311983,OK,224.8698832,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 3,HP,#NULL!,3,#NULL!,HIGHPK,3,STORM,2,Hill_ISCO,,Hill_ISCO,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,ISCO,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,8-Jul-14,7,2,2014,9:20:00 AM,#NULL!,#NULL!,#NULL!,ISCO,ISCO Storm Event,ISCO,5,15.5,#NULL!,#NULL!,#NULL!,,,,,,,,,,4.82,0.4,8.16,1775.78,209,8.87,0,1.97,5.91,22.02,0.32,3.81,0.77,0,17.95,0.17493696,0,0.17493696,0.22056304,1775.781,0.00691831,1098.852295,486.3196873,385.7367864,50.43697552,0,17.02774702,107.4690435,12.48933552,0,373.7736525,2286.540779,2021.352663,4307.893441,6.155865255,2021.345745,493.7320315,1527.613713,OK,3.034005988,OK,215.3410725,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 68,HP,#NULL!,68,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,15-Jul-14,7,2,2014,12:50:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,15.5,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.18,0.69,8.41,1965.9,235,7.92,0.03,1.81,7.04,26.44,0.32,6.02,2.79,0,16.07,0.63069021,0.024848,0.65553821,0.03056179,1965.901602,0.003890451,1319.560878,579.3046698,344.2835661,46.16569007,1.774003093,16.7487762,169.8812512,45.02708657,0,334.6158971,2532.174613,2291.092698,4823.267311,4.998311306,2289.314804,549.5242349,1739.790569,OK,2.807749552,OK,241.5982114,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 86,HP,#NULL!,86,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,15-Jul-14,7,2,2014,12:25:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,20,#NULL!,#NULL!,#NULL!,,,,,,,,,,4.44,0.31,8.31,1761.34,214,9.09,0,2.07,6.04,22.93,0.33,3.79,0.46,0,17.53,0.10461429,0,0.10461429,0.20408571,1761.335897,0.004897788,1143.962076,497.2639375,395.3062601,52.81559556,0,17.44357144,107.0290243,7.468764565,0,364.9435339,2258.220792,2089.352767,4347.573558,3.884190169,2089.347869,479.4413228,1609.906546,OK,1.483234268,OK,217.1741213,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 87,HP,#NULL!,87,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,15-Jul-14,7,2,2014,1:00:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,14,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.2,0.21,7.66,299.92,39.4,1.66,0.04,0.62,0.99,4.51,0.1,0.59,0.32,0,2.12,0.07122627,0.029507,0.10073327,0.10596673,299.9234544,0.021877616,225,81.21785641,72.16253142,15.95977319,2.106628673,5.079374303,16.58815897,5.085081985,0,44.21513758,370.8912073,396.4686673,767.3598746,-3.333176634,394.340161,65.88837854,328.4517825,OK,-3.101597024,OK,38.17797077,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 92,HP,#NULL!,92,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,22-Jul-14,7,2,2014,3:30:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,21,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.91,0.19,7.67,313.13,40.4,1.72,0,0.64,1.02,4.42,0.17,0.61,0.27,0,2.38,0.06022494,0,0.06022494,0.13177506,313.1267812,0.021379621,220.6087824,83.93334705,74.90288072,16.47130438,0,9.032338139,17.1269004,4.299660188,0,49.49113865,393.0768186,395.9376942,789.0145128,-0.362588469,395.9163146,70.91769924,324.9986153,OK,-3.408432077,OK,39.02299344,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 94,HP,#NULL!,94,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,22-Jul-14,7,2,2014,3:40:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,17,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.83,0.68,8.32,2076.6,240,8.43,0,1.86,7.24,27.31,0.33,6.16,2.8,0,15.8,0.63197784,0,0.63197784,0.04512216,2076.595302,0.004786301,1362.62475,595.5153261,366.815327,47.54682429,0,17.33303583,173.7032127,45.11901479,0,328.9276434,2641.678208,2372.507014,5014.185223,5.36819408,2372.502228,547.7498709,1824.752357,OK,4.32566839,OK,250.3816041,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HP 95,HP,#NULL!,95,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,22-Jul-14,7,2,2014,2:45:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,23,#NULL!,#NULL!,#NULL!,,,,,,,,,,4.3,0.27,8.36,1906.35,222,9.16,0,2.07,6.19,23.26,0.34,3.84,0.18,0,16.74,0.04072977,0,0.04072977,0.22457023,1906.352186,0.004365158,1160.678643,509.4425015,398.5685807,52.84117212,0,17.85939587,108.433701,2.907834703,0,348.5845992,2384.137717,2121.535262,4505.67298,5.828262641,2121.530897,459.9261349,1661.604762,OK,0.767060609,OK,223.7028746,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 100,HPW,#NULL!,100,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,29-Jul-14,7,2,2014,12:40:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,14,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.69,0.25,7.6,310.99,42.1,2.29,0.24,0.71,1.15,5.4,0.15,0.68,0.31,0,2.84,0.070029,0.189466,0.259495,-0.011195,310.994,0.025118864,269.261477,94.46615923,99.52252676,18.10820419,13.52677359,7.895400471,19.18032324,4.99960487,0,59.13118795,402.2005165,494.9102597,897.1107762,-10.33425811,481.3583672,83.31111607,398.0472512,OK,7.300732543,OK,45.1736084,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 101,HPW,#NULL!,101,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,29-Jul-14,7,2,2014,1:05:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,18,#NULL!,#NULL!,#NULL!,,6.9,,,,,,,,4.01,0.2,8.19,1783.02,213,12.14,0.15,2.2,6.8,25.46,0.35,3.68,0,0,16.03,0,0.114922,0.114922,0.087978,1783.019,0.006456542,1270.658683,559.8847974,527.8869689,56.26843111,8.204764307,18.4226011,103.7993964,0,0,333.7580785,2238.999076,2422.910101,4661.909177,-3.944972282,2414.69888,437.5574749,1977.141405,OK,8.900574535,OK,231.9582238,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 102,HPW,#NULL!,102,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,29-Jul-14,7,2,2014,12:25:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,15,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.96,0.68,8.18,1887.14,237,10.05,0.18,1.96,7.91,29.21,0.33,5.78,2.63,0,15.28,0.594117,0.142876,0.736993,-0.052593,1887.141,0.006606934,1457.684631,651.0594528,437.0639637,50.02775057,10.20051779,17.36988104,163.0327476,42.41600261,0,318.1424479,2428.102079,2606.042922,5034.145002,-3.534678547,2595.835798,523.5911981,2072.2446,OK,6.435374556,OK,252.2518377,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 103,HPW,#NULL!,103,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,4-Aug-14,8,2,2014,9:35:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,13,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.12,0.25,7.55,321.9,44.1,2,0.06,0.66,1.19,4.84,0.13,0.75,0.39,0,2.71,0.088101,0.043484,0.131585,0.120315,321.897,0.028183829,241.6167665,98.2513886,87.03871331,16.82937621,3.104505413,6.842680408,21.15476828,6.289825482,0,56.42447865,412.6087528,446.8689338,859.4776867,-3.986162939,443.7362446,83.86907241,359.8671722,OK,-2.578328965,OK,42.96295693,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 104,HPW,#NULL!,104,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,4-Aug-14,8,2,2014,10:00:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,10,#NULL!,#NULL!,#NULL!,,,,,,,,,,6.2,0.5,8.11,1442.21,187.8,9.95,0.17,2.01,5.86,21.83,0.29,3.31,0.97,0,14.37,0.219123,0.133558,0.352681,0.151419,1442.213,0.007762471,1089.421158,482.5344579,432.7142029,51.4600379,9.535266627,15.26444091,93.36304403,15.64392492,0,299.1954827,1865.679893,2065.672886,3931.352778,-5.087129144,2056.129856,408.2024517,1647.927405,OK,4.941243122,OK,197.0796546,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 105,HPW,#NULL!,105,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,4-Aug-14,8,2,2014,9:30:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,14,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.33,0.76,7.82,1595.44,212,8.65,0.16,1.73,6.93,25.06,0.3,4.58,3.04,0,13.88,0.686736,0.12424,0.810976,-0.052876,1595.441,0.015135612,1250.698603,570.0884592,376.1673127,44.29860122,8.870015467,15.79080094,129.1851183,49.02838324,0,288.9932707,2078.438573,2250.138127,4328.5767,-3.966651526,2241.252976,467.2067723,1774.046204,OK,2.52865182,OK,217.3607419,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
