IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 1,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,15-Sep-14,NORM,,,,2.71,0.14,7.59,346.52,40,1.41,0.02,0.72,1.01,5.3,0.05,0.36,0.07,0,1.92
FCW 2,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Above Poudre South,JWC,15-Sep-14,DUPLICATE,,,,2.75,0.14,7.56,350.7,40.8,1.42,0.01,0.7,1.01,5.43,0.05,0.36,0.09,0,1.9
FCW 5,Poudre Below Rustic,,PBR,15-Sep-14,NORM,,,,2.61,0.16,7.6,352.09,45.6,1.61,0.02,0.69,1.2,5.9,0.12,0.45,0.15,0,3.89
FCW 3,Poudre Above Joe Wright,,PJW,15-Sep-14,NORM,,,,2.48,0.21,7.5,274.41,43.3,1.25,0.01,0.54,1.03,5.65,0.19,0.2,0.38,0,5.44
FCW 8,Poudre Above North Fork,,PNF,15-Sep-14,NORM,,,,2.71,0.14,7.67,439.8,53,2.14,0.03,0.72,1.42,6.5,0.13,0.77,0.07,0,3.99
FCW 7,Poudre Below S. Fork,,PSF,15-Sep-14,NORM,,,,2.63,0.15,7.61,515.51,46.6,1.79,0.03,0.68,1.22,5.85,0.12,0.49,0.1,0,3.81
FCW 6,Poudre South Fork,,SFM,15-Sep-14,NORM,,,,3.3,0.15,7.56,334.83,41,2.57,0.03,0.61,1.15,4.67,0.14,0.54,0.02,0,2.38
FCW 10,Poudre Below Rustic,,PBR,16-Jan-15,NORM,,,,2.54,0.21,7.8,609.43,66.7,3.15,0.04,0.91,1.93,7.41,0.09,1.44,0.36,0,3.18
FCW 15,Poudre Above North Fork,,PNF,16-Jan-15,NORM,,,,1.95,0.26,7.86,766.23,86,4.38,0.05,0.9,2.44,9.43,0.14,2.36,0.63,0,4.35
FCW 11,Poudre South Fork,,SFM,16-Jan-15,NORM,,,,2.8,0.21,7.78,594.17,65.8,3.4,0.02,0.84,1.89,7.22,0.12,1.35,0.49,0,3.4
FCW 17,Poudre Below Rustic,,PBR,18-Mar-15,NORM,,,,2.48,0.15,7.79,594.41,64.8,3.16,0.02,0.89,1.84,7.05,0.09,1.55,0,0,2.86
FCW 24,Poudre Above North Fork,,PNF,18-Mar-15,NORM,,,,2.59,0.22,7.88,775.4,88.6,4.51,0.03,0.97,2.55,9.62,0.15,2.84,0.3,0,4.88
FCW 18,Poudre South Fork,,SFM,18-Mar-15,NORM,,,,2.42,0.17,7.76,605.17,65.4,3.44,0.01,0.9,1.89,7.11,0.12,1.46,0.11,0,3.25
FCW 27,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,20-Apr-15,NORM,,,,4.63,0.23,7.75,504.9,57.8,2.45,0.03,0.89,1.33,6.88,0.06,1.34,0.05,0,2.36
FCW 29,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Above Poudre South,JWC,20-Apr-15,DUPLICATE,,,,3.37,0.35,7.66,579.52,55.2,3.37,0.03,0.67,1.52,5.3,0.14,0.96,0.97,0,4.48
FCW 31,Poudre Below Rustic,,PBR,20-Apr-15,NORM,,,,4.89,0.19,7.69,487.17,55.7,2.92,0.02,0.87,1.57,6.1,0.07,1.25,0,0,2.7
FCW 28,Poudre Above Joe Wright,,PJW,20-Apr-15,NORM,,,,6.26,0.3,7.53,324.13,37.8,2.12,0.03,0.68,1,4.3,0.06,0.46,0.15,0,1.75
FCW 35,Poudre Above North Fork,,PNF,20-Apr-15,NORM,,,,4.98,0.46,7.78,629.15,87,4.73,0.04,0.98,2.37,9.53,0.15,3.66,1.22,0,5.19
FCW 30,Poudre South Fork,,SFM,20-Apr-15,NORM,,,,4.41,0.22,7.72,504.97,58.5,3.18,0.02,0.81,1.66,6.29,0.09,1.33,0.16,0,3.4
FCW 46,Barnes Meadow Outflow,Barnes Meadow Reservoir outflow,BMD,8-Jun-15,NORM,,,,11.47,0.33,7.43,331.17,40.2,2.2,0.03,0.82,0.85,5.5,0.03,0.55,0.13,0,1.63
FCW 44,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,8-Jun-15,NORM,,,,4.74,0.33,7.55,385.34,41.5,1.77,0.02,0.82,1.07,5.23,0.04,0.5,0.49,0,1.82
FCW 37,Poudre Below Rustic,,PBR,8-Jun-15,NORM,,,,6.35,0.32,7.35,248.58,32,1.71,0.02,0.66,0.9,3.74,0.06,0.46,0.48,0,1.97
FCW 38,Poudre Above Joe Wright,,PJW,8-Jun-15,NORM,,,,7.08,0.39,7.14,162.72,25.6,1.24,0.01,0.57,0.67,3.02,0.08,0.28,0.9,0,2
FCW 40,Poudre Above North Fork,,PNF,8-Jun-15,NORM,,,,6.45,0.34,7.46,344.59,42.7,2.24,0.03,0.73,1.18,4.91,0.1,0.94,0.53,0,2.64
FCW 39,Poudre South Fork,,SFM,8-Jun-15,NORM,,,,6.39,0.32,7.35,258.97,33.8,1.85,0.02,0.65,0.93,3.85,0.08,0.5,0.5,0,2.16
FCW 50,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,22-Jun-15,NORM,,,,3.89,0.34,7.51,308.42,35.9,1.42,0.02,0.74,0.9,4.4,0.05,0.35,0.93,0,1.64
