IDNo,Site,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 1520,Poudre at Archery Range,ARCH,22-Jun-22,NORM,10.3,16.2,0.83,7.77,1119.11,261.29,8,0.09,1.23,6.85,32.62,0.17,6.96,1.3,0,46.52
FCW 1767,Poudre at Archery Range,ARCH,25-Aug-22,NORM,52.03,53.53,20.38,7.4,2358.44,629.95,25.36,0.1,2.63,17.92,64.98,0.49,21.61,1.49,0,124.04
FCW 1768,Poudre at Archery Range,ARCH,25-Aug-22,DUPLICATE,47.52,52.26,,7.45,2431.16,632.19,26.16,0.09,2.6,18.14,66.46,0.5,22.17,1.5,0,124.81
FCW 1883,Poudre at Archery Range,ARCH,19-Sep-22,NORM,23.54,24.4,3.5,7.52,2451.49,596.77,23.94,0.26,2.33,16.77,57.37,0.17,17.17,1.83,0,125.26
FCW 1884,Poudre at Archery Range,ARCH,19-Sep-22,DUPLICATE,23.5,22.31,,7.52,2436.37,600.49,23.86,0.24,2.31,16.97,63.29,0.25,17.3,1.84,0,127.97
FCW 101,Beaver,BEAV,21-Aug-20,NORM, ,18.45,,6.76,173.62,22.37,1.28,0.01,0.4,0.65,2.62,0.02,0.17,0.08,0,0.9
FCW 198,Beaver,BEAV,12-Nov-20,NORM,3.5,0.51,,7.15,772.92,81.98,5.5,0.01,1.57,2.04,6.7,0.02,1.35,0.08,0.01,0.95
FCW 222,Beaver,BEAV,16-Dec-20,NORM,3.25,1.74,,7.07,476.1,48.71,3.2,0.01,0.94,1.45,4.33,0.02,1.1,0.08,0,1.01
FCW 236,Beaver,BEAV,8-Apr-21,NORM,1.6, ,,7.19,356.89,44.28,3,0.12,1.51,1.52,3.9,0.04,1.78,1.47,0,1.21
FCW 255,Beaver,BEAV,13-Apr-21,NORM,2.9,0,,7.02,328.39,42.41,2.86,0.01,1.53,1.54,2.54,0.02,1.66,0.46,0,1.44
FCW 280,Beaver,BEAV,21-Apr-21,NORM,1.1,0,,7.12,345.93,37.83,2.01,0.03,0.94,1.95,1.26,0.04,0.85,0.43,0,2.3
FCW 294,Beaver,BEAV,27-Apr-21,NORM,2.75,12.37,,6.93,319.8,45.07,2.13,0.04,1.29,1.87,2.16,0.04,1.25,0.44,0,4.57
FCW 297,Beaver,BEAV,27-Apr-21,NORM,1.5,0,,7.01,405.38,55.46,2.3,0.05,1.31,1.97,2.11,0.04,1.26,0.39,0,6
FCW 309,Beaver,BEAV,29-Apr-21,NORM,1.5,4.53,,6.96,329.56,50.78,1.8,0.12,0.96,2.3,1.22,0.04,0.87,0.36,0,11.28
FCW 334,Beaver,BEAV,4-May-21,NORM,3,5.3,,7.07,284.45,53.9,2.03,0.09,1.11,1.95,1.95,0.02,1.3,0.44,0,12.04
FCW 358,Beaver,BEAV,12-May-21,NORM,2.75,4,,6.96,243.84,43.36,1.16,0.07,0.7,1.17,4.58,0.1,1.01,0.77,0.32,10.69
FCW 369,Beaver,BEAV,18-May-21,NORM,4.2,0,,7.1,240.1,52.32,1.95,0.11,0.91,1.22,4.45,0.04,1.28,0.5,0.28,11
FCW 406,Beaver,BEAV,25-May-21,NORM,2.4,10.53,,6.84,200.3,45.16,1.77,0.09,0.93,1.26,5.3,0.03,1.33,0.48,0,8.96
FCW 416,Beaver,BEAV,1-Jun-21,NORM,3,2,,6.93,185.15,35.96,1.67,0.03,0.69,0.99,4.15,0.03,0.57,0.55,0,6.24
FCW 465,Beaver,BEAV,8-Jun-21,NORM,10,,,6.63,132.67,21.83,1.21,0.03,0.53,0.62,2.54,0.03,0.43,0.38,0,3.25
FCW 501,Beaver,BEAV,15-Jun-21,NORM,2,2,,6.29,112,20.4,1.13,0.04,0.4,0.52,2.43,0.06,0.29,0.24,0,1.93
FCW 502,Beaver,BEAV,15-Jun-21,DUPLICATE,2,3.96,,6.32,118.92,20.47,1.17,0.03,0.38,0.51,2.47,0.03,0.27,0.23,0,1.91
FCW 530,Beaver,BEAV,22-Jun-21,NORM,2.4,5.36,,6.5,134.46,21.06,1.16,0.02,0.33,0.47,2.57,0.02,0.23,0.2,0,1.62
FCW 581,Beaver,BEAV,29-Jun-21,NORM,1.8,0,,6.87,164.54,25.12,1.39,0.01,0.31,0.58,2.71,0.07,0.26,0.18,0,1.72
FCW 645,Beaver,BEAV,13-Jul-21,NORM,2.5,1.64,,6.87,177.54,24.69,1.63,0.01,0.37,0.63,3.04,0.02,0.22,0.15,0,1.85
FCW 695,Beaver,BEAV,27-Jul-21,NORM,2.5,2.11,,6.74,215.12,27.33,1.71,0.03,0.34,0.73,2.98,0.03,0.29,0.15,0,1.88
FCW 831,Beaver,BEAV,10-Aug-21,NORM,3.1,,,6.97,223.2,29.6,1.87,0.02,0.54,0.62,2.82,0.04,0.47,0.64,0,2.84
FCW 950,Beaver,BEAV,24-Aug-21,NORM,3,1.25,,6.88,247.65,29.96,1.99,0.05,0.5,0.42,2.85,0.02,0.37,0.25,0,2.2
FCW 951,Beaver,BEAV,24-Aug-21,DUPLICATE,3,2.6,,6.83,242.66,28.98,1.95,0.05,0.51,0.4,2.8,0.03,0.42,0.23,0,2.17
FCW 1015,Beaver,BEAV,14-Sep-21,NORM,3,,,6.88,284.03,33.17,2.03,0.06,0.53,0.54,2.67,0.14,0.56,0.51,0,2.44
FCW 1116,Beaver,BEAV,29-Sep-21,NORM,3.4,,,6.82,298.35,31.84,2.48,0.03,0.57,0.61,2.66,0.05,0.52,0.22,0,2.38
FCW 1176,Beaver,BEAV,12-Oct-21,NORM,4.1,1.8,,6.86,306.44,35.82,3.25,0.03,0.69,0.63,2.36,0.11,0.83,0.09,0,3.04
FCW 1215,Beaver,BEAV,27-Oct-21,NORM,4.5,1.1,,6.94,308.91,33.41,2.32,0,0.58,0.52,2.17,0.11,0.61,0.48,0,2.45
FCW 1216,Beaver,BEAV,27-Oct-21,DUPLICATE,4,,,6.92,314.93,33.48,2.33,0,0.58,0.54,2.03,0.12,0.61,0.5,0,2.47
FCW 1255,Beaver,BEAV,1-Dec-21,NORM,,2.25,,6.86,242.77,31.73,2.95,0.01,0.57,0.56,2.3,0.03,0.61,0.77,0,2.63
FCW 1340,Beaver,BEAV,31-Mar-22,NORM,,14.69,,6.84,330.16,50.96,3.44,0.06,0.77,1.02,4.41,0.03,1.13,3.03,0,3.9
FCW 1348,Beaver,BEAV,19-Apr-22,NORM,,5.61,,7.04,349.47,51.64,6.41,0.02,0.78,0.73,3.37,0.03,0.99,2.28,0,4.15
FCW 1388,Beaver,BEAV,11-May-22,NORM,,8.04,,6.69,210.93,44.69,2.08,0.01,1,0.54,5.37,0.02,1,4.3,0,4.27
FCW 1408,Beaver ,BEAV,23-May-22,NORM,,6.27,,6.99,221.41,39.21,1.9,0.04,0.76,0.65,4.66,0.02,0.82,3.13,0,3.74
FCW 1458,Beaver,BEAV,6-Jun-22,NORM,,4.04,,6.87,130.94,25.21,1.36,0,0.55,0.59,3.47,0.02,0.42,1.62,0,1.89
FCW 1495,Beaver,BEAV,21-Jun-22,NORM,7.56,4,,7,148.21,21.35,1.25,0.01,0.44,0.54,2.69,0.02,0.26,0.61,0,1.26
FCW 1556,Beaver,BEAV,29-Jun-22,NORM,1.03,6.81,1.55,7.01,145.36,20.88,1.22,0.03,0.35,0.6,2.67,0.06,0.24,0.36,0,0.91
FCW 1583,Beaver,BEAV,6-Jul-22,NORM,2.95,3,,6.89,167.99,23.89,1.31,0.02,0.38,0.71,3.42,0.07,0.24,0.37,0,0.79
FCW 1625,Beaver,BEAV,18-Jul-22,NORM,6.26,5.6,0.9,6.99,201.89,27.01,1.67,0.01,0.41,0.74,3.73,0.07,0.26,0.14,0,0.8
FCW 1626,Beaver,BEAV,18-Jul-22,DUPLICATE,6.34,6.4,,6.97,210.58,28.15,1.67,0.01,0.41,0.73,3.81,0.07,0.23,0.14,0,0.84
FCW 1682,Beaver,BEAV,1-Aug-22,NORM,2.44,9.8,,6.79,234.96,27.8,1.58,0.01,0.38,0.66,3.45,0.04,0.23,0.31,0,0.79
FCW 1738,Beaver,BEAV,17-Aug-22,NORM,32.18,26.36,,6.91,255.58,34.2,1.85,0.04,0.62,0.85,4.36,0.02,0.32,0.79,0,1.48
FCW 1798,Beaver,BEAV,31-Aug-22,NORM,4.32,3.7,2.04,6.94,269.54,36.84,1.9,0.03,0.58,0.87,4.51,0.03,0.33,0.8,0,1.52
FCW 1821,Beaver,BEAV,8-Sep-22,NORM,6.05,0.9,,6.95,279.62,36.02,2.06,0.03,0.53,0.92,4.6,0.04,0.36,0.13,0,1.82
FCW 1909,Beaver,BEAV,22-Sep-22,NORM,4.95,1.22,,6.96,369.4,39.97,2.04,0.06,0.62,1.08,4.88,0.03,0.47,0.15,0,1.48
FCW 1940,Beaver,BEAV,28-Sep-22,NORM,3.85,2.4,2.12,6.96,380.02,41.92,2,0.03,0.64,1.03,4.84,0.02,0.43,0.16,0,1.51
FCW 1961,Beaver,BEAV,6-Oct-22,NORM,3.47,1.3,,6.98,396.85,45.28,2.71,0.03,0.49,1.15,4.93,0.04,0.6,0.25,0,2.25
FCW 2003,Beaver,BEAV,20-Oct-22,NORM,2.12,1.8,,6.99,384.3,45.34,2.87,0,0.46,1,5.14,0.04,0.58,0.38,0,2.29
FCW 2040,Beaver,BEAV,3-Nov-22,NORM,0.62,0.6,,7.01,399.28,46.86,2.73,0.02,0.6,1.32,5.11,0.03,0.56,0.27,0,2.18
FCW 164,Barnes Meadow Outflow,BMD,20-Oct-20,NORM, , ,,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75
FCW 240,Barnes Meadow Outflow,BMD,7-Apr-21,NORM,6, ,,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07
FCW 241,Barnes Meadow Outflow,BMD,12-Apr-21,NORM, ,2.88,,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85
FCW 262,Barnes Meadow Outflow,BMD,19-Apr-21,NORM,12,3.75,,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01
FCW 283,Barnes Meadow Outflow,BMD,26-Apr-21,NORM,15,6.67,,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95
FCW 323,Barnes Meadow Outflow,BMD,3-May-21,NORM,9,8.21,,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54
FCW 347,Barnes Meadow Outflow,BMD,10-May-21,NORM,5.5,8,,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68
FCW 383,Barnes Meadow Outflow,BMD,17-May-21,NORM,3.4,7.92,,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93
FCW 396,Barnes Meadow Outflow,BMD,24-May-21,NORM,2.1,2,,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67
FCW 427,Barnes Meadow Outflow,BMD,1-Jun-21,NORM,3.5,4,,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24
FCW 448,Barnes Meadow Outflow,BMD,2-Jun-21,NORM, ,7.38,1.04,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59
FCW 455,Barnes Meadow Outflow,BMD,7-Jun-21,NORM,4, ,,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39
FCW 488,Barnes Meadow Outflow,BMD,9-Jun-21,NORM,6.4,5,2.17,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25
FCW 517,Barnes Meadow Outflow,BMD,16-Jun-21,NORM,10,6.09,2.98,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23
FCW 553,Barnes Meadow Outflow,BMD,23-Jun-21,NORM,5,4.14,,7.1,409.22,75.93,2.32,0.04,1.14,1.46,9.27,0.04,1.38,0.15,0,10.86
FCW 614,Barnes Meadow Outflow,BMD,30-Jun-21,NORM,7,4.1,0.81,7.11,377.93,74.78,2.31,0.08,1.17,1.51,10.26,0.03,1.37,0.07,0,10.16
FCW 627,Barnes Meadow Outflow,BMD,7-Jul-21,NORM,13,7.3,0.5,6.81,415.86,76.7,2.36,0.15,1.17,1.49,9.96,0.04,1.67,0.18,0,10.53
FCW 663,Barnes Meadow Outflow,BMD,14-Jul-21,NORM,15,7.39,1.39,6.81,409.34,78.97,2.43,0.29,1.2,1.48,9.62,0.03,1.67,0.23,0,10.76
FCW 741,Barnes Meadow Outflow,BMD,28-Jul-21,NORM,11,2.4,3.37,6.92,419.6,73.97,2.31,0.18,1.18,1.37,9.4,0.03,1.48,0.18,0,10.2
