IDNo,Era,EraSamp,Site,SiteDescr,site_code,Date,SampleType,Al_ppb,P_ppm,Mn_ppb,Fe_ppb
FCW 242,FCW,242,JWC-Joe Wright @ Aspen Glen Campground,JWC_041221,JWC,12-Apr-21,NORM,x,0.26,x,74.45
FCW 245,FCW,245,Poudre Below Rustic,PBR_041221,PBR,12-Apr-21,NORM,x,0.2,x,x
FCW 400,FCW,400,Poudre Below Rustic,PBR_052421,PBR,24-May-21,NORM,x,0.49,x,616.02
FCW 446,FCW,446,Joe Wright Reservoir,JOER_060221,JOER,2-Jun-21,NORM,x,0.19,x,18.3
FCW 452,FCW,452,Chambers Reservoir,CBRR_060221,CBRR,2-Jun-21,NORM,x,0.38,x,184.22
FCW 521,FCW,521,JWC-Joe Wright @ Aspen Glen Campground,JWC_062121,JWC,21-Jun-21,NORM,x,0.31,x,88.52
FCW 524,FCW,524,Poudre Below Rustic,PBR_062121,PBR,21-Jun-21,NORM,x,0.38,x,284.71
FCW 556,FCW,556,Chambers Reservoir,CBRR_062321,CBRR,23-Jun-21,NORM,x,0.35,x,287.69
FCW 594,FCW,594,Poudre Below Rustic,PBR_070121,PBR,1-Jul-21,NORM,x,0.3,x,101.74
FCW 605,FCW,605,Poudre Below Rustic,PBR_070221,PBR,2-Jul-21,NORM,x,0.3,x,848.11
FCW 661,FCW,661,Joe Wright Reservoir,JOER_071421,JOER,14-Jul-21,NORM,x,0.25,1.03,32.36
FCW 665,FCW,665,Chambers Reservoir,CBRR_071421,CBRR,14-Jul-21,NORM,x,0.58,x,172.93
FCW 668,FCW,668,Poudre Below Rustic,PBR_072121,PBR,21-Jul-21,NORM,x,94.95,11.13,327.89
FCW 680,FCW,680,JWC-Joe Wright @ Aspen Glen Campground,JWC_072621,JWC,26-Jul-21,NORM,x,0.43,x,99.35
FCW 1463,FCW,1463,Joe Wright Inlet,JOEI_060722,JOEI,7-Jun-22,NORM,93.67,0.04,5.47,298.75
FCW 1464,FCW,1464,Joe Wright Reservoir,JOER_060722,JOER,7-Jun-22,NORM,25.54,0.04,0.72,199.14
FCW 1465,FCW,1465,Chambers Inlet,CBRI_060722,CBRI,7-Jun-22,NORM,82.36,0.05,33.72,308.92
FCW 1466,FCW,1466,Barnes Meadow Outflow,BMD_060722,BMD,7-Jun-22,NORM,35.83,0.04,5.33,230.39
FCW 1467,FCW,1467,Barnes Meadow Reservoir,BRNR_060722,BRNR,7-Jun-22,NORM,24.23,0.04,3.32,218.04
FCW 1469,FCW,1469,Chambers Reservoir,CBRR_060722,CBRR,7-Jun-22,NORM,19.78,0.05,2.25,203.84
FCW 1470,FCW,1470,Chambers Outflow,CHD_060722,CHD,7-Jun-22,NORM,43.99,0.04,13.24,238.66
FCW 1477,FCW,1477,Long Draw Reservoir,LNGO_061422,LNGR,14-Jun-22,NORM,132.09,0.03,6.3,230.09
FCW 1478,FCW,1478,Long Draw Outlet,LNGO_061422,LNGO,14-Jun-22,NORM,139.24,0.02,7.61,248.34
FCW 1479,FCW,1479,Peterson Outlet,PTRO_061422,PTRO,14-Jun-22,NORM,157.32,0.06,26.31,403.21
FCW 1482,FCW,1482,Joe Wright Inlet,JOEI_061422,JOEI,14-Jun-22,NORM,82.94,0.08,2.69,259.48
FCW 1540,FCW,1540,Joe Wright Reservoir,JOER_062822,JOER,28-Jun-22,NORM,41.57,0.04,1.18,211.68
FCW 1542,FCW,1542,Long Draw Reservoir,LNGR_062822,LNGR,28-Jun-22,NORM,99.83,0.02,7.56,270.43
FCW 1544,FCW,1544,Peterson Reservoir,PTRR_062822,PTRR,28-Jun-22,NORM,148.1,0.03,23.1,401.21
FCW 1547,FCW,1547,Barnes Meadow Reservoir,BRNR_062822,BRNR,28-Jun-22,NORM,23.09,0.07,10.3,197.24
FCW 1548,FCW,1548,Chambers Reservoir,CBRR_062822,CBRR,28-Jun-22,NORM,22.31,0.05,12.1,210.39
FCW 1551,FCW,1551,Comanche Reservoir,COMR_062922,COMR,29-Jun-22,NORM,34.1,0.04,13.23,320.1
FCW 1555,FCW,1555,Hourglass Reservoir,HORR_062922,HORR,29-Jun-22,NORM,36.1,0.02,14.1,354.91
FCW 1572,FCW,1572,Joe Wright Reservoir,JOER_070522,JOER,5-Jul-22,NORM,19.39,0.09,1.27,201.19
FCW 1582,FCW,1582,Poudre Below Rustic,PBR_070522,PBR,5-Jul-22,NORM,15204.64,2.03,4888.99,13160.64
FCW 1659,FCW,1659,Long Draw Reservoir,LNGR_072622,LNGR,26-Jul-22,NORM,101.23,0.03,6.1,265.41
FCW 1660,FCW,1660,Long Draw Outlet,LNGO_072622,LNGO,26-Jul-22,NORM,105.1,0.02,7.66,278.35
FCW 1662,FCW,1662,Peterson Reservoir,PTRR_072622,PTRR,26-Jul-22,NORM,128.34,0.12,20.11,378.41
FCW 1663,FCW,1663,Peterson Outlet,PTRO_072622,PTRO,26-Jul-22,NORM,123.85,0.1,19.12,330.1
FCW 1664,FCW,1664,Joe Wright Inlet,JOEI_072622,JOEI,26-Jul-22,NORM,75.1,0.02,4.1,278.34
FCW 1665,FCW,1665,Joe Wright Reservoir,JOER_072622,JOER,26-Jul-22,NORM,24.31,0.06,7.09,245.23
FCW 1667,FCW,1667,Chambers Inlet,CBRI_072622,CBRI,26-Jul-22,NORM,13.34,0.03,34.23,329.34
FCW 1668,FCW,1668,Barnes Meadow Outflow,BMD_072622,BMD,26-Jul-22,NORM,32.1,0.04,32.1,458.23
FCW 1669,FCW,1669,Barnes Meadow Reservoir,BRNR_072622,BRNR,26-Jul-22,NORM,58.21,0.09,13.21,202.35
FCW 1670,FCW,1670,Chambers Reservoir,CBRR_072622,CBRR,26-Jul-22,NORM,18.4,0.04,14.23,243.34
FCW 1671,FCW,1671,Chambers Outflow,CHD_072622,CHD,26-Jul-22,NORM,19.35,0.05,22.1,301.44
FCW 1687,FCW,1687,Long Draw Reservoir,LNGR_080222,LNGR,2-Aug-22,NORM,117.15,0.04,7.08,309.69
FCW 1714,FCW,1714,Barnes Meadow Reservoir,BRNR_080922,BRNR,9-Aug-22,NORM,52.53,0.15,9.55,243.25
FCW 1839,FCW,1839,Barnes Meadow Outflow,BMD_091322,BMD,13-Sep-22,NORM,76.8,0.08,150.35,1058.87
FCW 1868,FCW,1868,Joe Wright Inlet,JOEI_091922,JOEI,19-Sep-22,NORM,40.23,0.03,2.77,230.1
FCW 1869,FCW,1869,Joe Wright Reservoir,JOER_091922,JOER,19-Sep-22,NORM,10.3,0.08,8.34,230.34
FCW 1870,FCW,1870,Chambers Inlet,CBRI_091922,CBRI,19-Sep-22,NORM,21.1,0.05,28.35,231.1
FCW 1872,FCW,1872,Barnes Meadow Reservoir,BRNR_091922,BRNR,19-Sep-22,NORM,41.21,0.06,8.7,267.36
FCW 1873,FCW,1873,Chambers Reservoir,CBRR_091922,CBRR,19-Sep-22,NORM,19.24,0.06,15.23,197.23
FCW 1885,FCW,1885,Boxelder 1,,,19-Sep-22,NORM,17.91,1.62,12.76,219.47
FCW 1886,FCW,1886,Boxelder 2,,,19-Sep-22,NORM,30.86,2.09,42.94,203.11
FCW 1887,FCW,1887,Boxelder 3,,,19-Sep-22,NORM,61.28,2.08,56.26,292.81
FCW 1888,FCW,1888,Boxelder 4,,,19-Sep-22,NORM,312.33,2.09,58.99,704.59
FCW 1890,FCW,1890,Long Draw Reservoir,LNGR_092022,LNGR,20-Sep-22,NORM,108.23,0.1,6.41,299.41
FCW 1892,FCW,1892,Peterson Reservoir,PTRR_092022,PTRR,20-Sep-22,NORM,165.32,0.07,37.08,580.98
FCW 1897,FCW,1897,Barnes Meadow Outflow,BMD_092022,BMD,20-Sep-22,NORM,70.47,0.11,181.88,1124.02
FCW 1921,FCW,1921,Long Draw Outlet,LNGO_092722,LNGO,27-Sep-22,NORM,110.32,0.05,7.1,312.31
FCW 1923,FCW,1923,Peterson Outlet,PTRO_092722,PTRO,27-Sep-22,NORM,172.31,0.04,38.55,612.34
FCW 1924,FCW,1924,Joe Wright Inlet,JOEI_092722,JOEI,27-Sep-22,NORM,25.66,0.04,2.21,200.19
FCW 1926,FCW,1926,Chambers Inlet,CBRI_092722,CBRI,27-Sep-22,NORM,9.8,0.07,23.1,169.23
FCW 1928,FCW,1928,Barnes Meadow Outflow,BMD_092722,BMD,27-Sep-22,NORM,65.37,0.07,163.56,950.46
FCW 1931,FCW,1931,Chambers Outflow,CHD_092722,CHD,27-Sep-22,NORM,22.55,0.05,25.32,261.82
FCW 1932,FCW,1932,Comanche Inflow,COMI_092822,COMI,28-Sep-22,NORM,14.58,0.05,2.04,212.14
FCW 1935,FCW,1935,Hourglass Inflow,HORI_092822,HORI,28-Sep-22,NORM,12.41,0.05,13.29,378.65
FCW 1937,FCW,1937,Comanche Outflow,COMO_092822,COMO,28-Sep-22,NORM,60.61,0.06,26.1,452.41
FCW 1939,FCW,1939,Hourglass Outflow,HORO_092822,HORO,28-Sep-22,NORM,23.1,0.03,15.09,365.41
FCW 1946,FCW,1946,Joe Wright Inlet,JOEI_100422,JOEI,4-Oct-22,NORM,12.55,0.04,2.65,217.97
FCW 1974,FCW,1974,Joe Wright Inlet,JOEI_101122,JOEI,11-Oct-22,NORM,3.37,0.04,1.54,207.68
FCW 2007,FCW,2007,Poudre Below Rustic,PBR_102122,PBR,21-Oct-22,NORM,6.96,0.04,2.55,219.54
FCW 2010,FCW,2010,Poudre Below S. Fork,PSF_102122,PSF,21-Oct-22,NORM,8.64,0.04,1.3,212.06
FCW 2016,FCW,2016,Peterson Outlet,PTRO_102522,PTRO,25-Oct-22,NORM,317.34,0.08,31.91,736.66
FCW 2030,FCW,2030,Joe Wright Inlet,JOEI_110122,JOEI,1-Nov-22,NORM,3.83,0.04,1.77,206.02
